Template	Target	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
YBL045C	Hanpo2_94211	37.220	446	272	6	15	458	4	443	9.14e-91	280
YBR115C	Hanpo2_15468	61.226	1354	465	18	65	1389	3	1325	0.0	1621
YDL067C	Hanpo2_93189	50.847	59	29	0	1	59	1	59	3.09e-18	68.2
YDL174C	Hanpo2_91005	54.309	499	214	8	85	581	3	489	0.0	542
YDL178W	Hanpo2_96740	62.725	499	174	4	42	531	24	519	0.0	657
YDR231C	Hanpo2_96667	42.982	114	65	0	36	149	27	140	6.43e-31	108
YDR287W	Hanpo2_92522	36.486	74	33	5	86	147	123	194	0.011	35.0
YDR428C	Hanpo2_17036	23.148	108	49	4	24	112	75	167	0.014	33.9
YDR453C	Hanpo2_16862	71.204	191	55	0	1	191	1	191	3.02e-105	298
YDR529C	Hanpo2_8287	55.833	120	53	0	4	123	3	122	4.83e-41	130
YEL024W	Hanpo2_15283	70.792	202	57	2	15	214	1	202	1.17e-106	303
YEL039C	Hanpo2_83364	75.701	107	26	0	8	114	5	111	7.25e-60	177
YEL071W	Hanpo2_96740	53.307	499	219	5	9	497	25	519	0.0	550
YER014W	Hanpo2_40325	33.210	539	310	19	24	538	11	523	3.36e-76	248
YFR033C	Hanpo2_17358	53.521	71	33	0	78	148	70	140	4.18e-20	78.6
YGL154C	Hanpo2_9118	34.302	172	99	6	43	205	1	167	3.12e-20	86.7
YGL187C	Hanpo2_15583	64.516	155	52	2	4	156	2	155	2.99e-68	201
YGL191W	Hanpo2_92540	57.258	124	50	1	3	126	11	131	1.10e-46	145
YGR062C	Hanpo2_74601	37.234	282	160	7	36	313	26	294	5.54e-44	150
YGR183C	Hanpo2_8192	68.421	57	18	0	3	59	2	58	3.54e-26	89.0
YGR209C	Hanpo2_15714	58.416	101	41	1	5	105	4	103	1.33e-40	127
YHR001W-A	Hanpo2_9185	44.737	76	42	0	3	78	4	79	5.47e-18	68.6
YHR046C	Hanpo2_10193	28.571	56	33	2	35	90	88	136	2.0	27.3
YHR051W	Hanpo2_15607	78.070	114	25	0	34	147	6	119	1.12e-62	186
YHR116W	Hanpo2_7853	43.023	86	48	1	66	150	24	109	4.05e-22	82.8
YIL010W	Hanpo2_82877	54.676	139	60	3	63	199	56	193	4.17e-47	152
YIL111W	Hanpo2_25578	50.658	152	70	2	1	152	1	147	1.12e-47	149
YJL003W	Hanpo2_52627	52.500	120	55	1	2	119	3	122	2.09e-39	125
YJL166W	Hanpo2_52470	65.909	88	30	0	8	95	7	94	8.71e-38	120
YJR048W	Hanpo2_83364	81.308	107	20	0	4	110	5	111	1.25e-63	186
YKR066C	Hanpo2_16567	46.849	365	171	12	8	362	1	352	2.59e-95	285
YLL018C-A	Hanpo2_15344	22.388	67	49	1	34	97	146	212	0.13	28.5
YLR038C	Hanpo2_16538	69.333	75	23	0	9	83	8	82	1.95e-39	123
YLR043C	Hanpo2_15714	57.576	99	42	0	6	104	5	103	1.19e-41	130
YLR109W	Hanpo2_93944	42.373	177	89	8	5	177	27	194	5.24e-38	127
YLR395C	Hanpo2_93190	44.444	72	40	0	5	76	4	75	1.94e-18	69.7
YML054C	Hanpo2_17558	54.910	499	200	10	89	580	62	542	2.20e-178	513
YMR208W	Hanpo2_77593	28.302	53	35	1	182	234	489	538	7.5	26.6
YMR256C	Hanpo2_15244	34.211	38	25	0	1	38	170	207	1.9	23.5
YNL052W	Hanpo2_25578	47.917	144	74	1	11	154	5	147	5.39e-44	139
YNL316C	Hanpo2_75269	33.623	345	174	13	5	333	3	308	1.04e-47	161
YOR065W	Hanpo2_97108	87.347	245	31	0	62	306	1	245	4.68e-168	464
YPL132W	Hanpo2_23094	64.444	180	64	0	78	257	11	190	4.75e-92	270
YPR167C	Hanpo2_16168	62.025	237	82	5	24	259	2	231	1.71e-99	288
YPR183W	Hanpo2_82959	32.500	240	146	8	4	235	3	234	1.91e-28	106
YPR191W	Hanpo2_16280	40.591	372	201	6	8	369	1	362	1.32e-75	236
RHTO_03911	Hanpo2_15704	48.718	429	209	5	45	469	43	464	9.71e-144	421
Q0045	Hanpo2_75953	36.842	38	22	1	470	505	160	197	0.28	31.6
Q0105	-	-	-	-	-	-	-	-	-	-	-
Q0250	Hanpo2_15462	29.070	86	51	3	30	105	492	577	1.6	27.7
Q0275	Hanpo2_93633	25.806	62	38	1	64	117	61	122	4.5	26.6
